category,address,name,getName,getType,accessType,size,autodetectedSize,getSize,getVrom,sectionType,isDefined,isUserDeclared,isAutogenerated,isMaybeString,referenceCounter,overlayCategory,unknownSegment,isGot,isGotGlobal,isGotLocal
symbol,0x408A54,None,.L00408A54,@branchlabel,None,None,None,0x4,0x8A54,.text,True,False,True,False,2,None,False,False,False,False
symbol,0x408A70,None,.L00408A70,@branchlabel,None,None,None,0x4,0x8A70,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x408AC8,None,.L00408AC8,@branchlabel,None,None,None,0x4,0x8AC8,.text,True,False,True,False,2,None,False,False,False,False
symbol,0x408AE4,None,.L00408AE4,@branchlabel,None,None,None,0x4,0x8AE4,.text,True,False,True,False,3,None,False,False,False,False
symbol,0x408B30,None,.L00408B30,@branchlabel,None,None,None,0x4,0x8B30,.text,True,False,True,False,2,None,False,False,False,False
symbol,0x408C64,None,.L00408C64,@branchlabel,None,None,None,0x4,0x8C64,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x408C9C,None,.L00408C9C,@branchlabel,None,None,None,0x4,0x8C9C,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x408E24,None,.L00408E24,@branchlabel,None,None,None,0x4,0x8E24,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x408E7C,None,.L00408E7C,@branchlabel,None,None,None,0x4,0x8E7C,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x408ED4,None,.L00408ED4,@branchlabel,None,None,None,0x4,0x8ED4,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x408F3C,None,.L00408F3C,@branchlabel,None,None,None,0x4,0x8F3C,.text,True,False,True,False,5,None,False,False,False,False
symbol,0x408FB4,None,.L00408FB4,@branchlabel,None,None,None,0x4,0x8FB4,.text,True,False,True,False,2,None,False,False,False,False
symbol,0x40902C,None,.L0040902C,@branchlabel,None,None,None,0x4,0x902C,.text,True,False,True,False,2,None,False,False,False,False
symbol,0x4090BC,None,.L004090BC,@branchlabel,None,None,None,0x4,0x90BC,.text,True,False,True,False,3,None,False,False,False,False
symbol,0x40914C,None,.L0040914C,@branchlabel,None,None,None,0x4,0x914C,.text,True,False,True,False,3,None,False,False,False,False
symbol,0x4091C4,None,.L004091C4,@branchlabel,None,None,None,0x4,0x91C4,.text,True,False,True,False,4,None,False,False,False,False
symbol,0x409224,None,.L00409224,@branchlabel,None,None,None,0x4,0x9224,.text,True,False,True,False,2,None,False,False,False,False
symbol,0x40928C,None,.L0040928C,@branchlabel,None,None,None,0x4,0x928C,.text,True,False,True,False,4,None,False,False,False,False
symbol,0x4092C4,None,.L004092C4,@branchlabel,None,None,None,0x4,0x92C4,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x409330,None,.L00409330,@branchlabel,None,None,None,0x4,0x9330,.text,True,False,True,False,4,None,False,False,False,False
symbol,0x409368,None,.L00409368,@branchlabel,None,None,None,0x4,0x9368,.text,True,False,True,False,2,None,False,False,False,False
symbol,0x4093E4,None,.L004093E4,@branchlabel,None,None,None,0x4,0x93E4,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x409428,None,.L00409428,@branchlabel,None,None,None,0x4,0x9428,.text,True,False,True,False,4,None,False,False,False,False
symbol,0x40944C,None,.L0040944C,@branchlabel,None,None,None,0x4,0x944C,.text,True,False,True,False,3,None,False,False,False,False
symbol,0x4094F8,None,.L004094F8,@branchlabel,None,None,None,0x4,0x94F8,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x409514,None,.L00409514,@branchlabel,None,None,None,0x4,0x9514,.text,True,False,True,False,1,None,False,False,False,False
